year,year_start,year_end,subject,language,paper,kind,source_pdf,markdown,pages,review
2010,2010,2010,Bengali,Bengali,Paper 1,individual,2010_2016_Archives/2010/Bengali_Paper_1.pdf,reconstructed/2010/bengali/paper-1/paper.md,3,needs_review
2010,2010,2010,Bengali,Bengali,Paper 2,individual,2010_2016_Archives/2010/Bengali_Paper_2.pdf,reconstructed/2010/bengali/paper-2/paper.md,5,needs_review
2010,2010,2010,English,English,—,individual,2010_2016_Archives/2010/English.pdf,reconstructed/2010/english/english/paper.md,6,needs_review
2010,2010,2010,Geography,English,—,individual,2010_2016_Archives/2010/Geography.pdf,reconstructed/2010/geography/geography/paper.md,4,needs_review
2010,2010,2010,History,English,—,individual,2010_2016_Archives/2010/History.pdf,reconstructed/2010/history/history/paper.md,4,needs_review
2010,2010,2010,Life Science,English,—,individual,2010_2016_Archives/2010/Life_Science.pdf,reconstructed/2010/life-science/life-science/paper.md,5,needs_review
2010,2010,2010,Mathematics,English,—,individual,2010_2016_Archives/2010/Mathematics.pdf,reconstructed/2010/mathematics/mathematics/paper.md,5,needs_review
2010,2010,2010,Physical Science,English,—,individual,2010_2016_Archives/2010/Physical_Science.pdf,reconstructed/2010/physical-science/physical-science/paper.md,5,needs_review
2011,2011,2011,Bengali,Bengali,Paper 1,individual,2010_2016_Archives/2011/Bengali_Paper_1.pdf,reconstructed/2011/bengali/paper-1/paper.md,3,needs_review
2011,2011,2011,Bengali,Bengali,Paper 2,individual,2010_2016_Archives/2011/Bengali_Paper_2.pdf,reconstructed/2011/bengali/paper-2/paper.md,5,needs_review
2011,2011,2011,English,English,—,individual,2010_2016_Archives/2011/English.pdf,reconstructed/2011/english/english/paper.md,6,needs_review
2011,2011,2011,Geography,English,—,individual,2010_2016_Archives/2011/Geography.pdf,reconstructed/2011/geography/geography/paper.md,4,needs_review
2011,2011,2011,History,English,—,individual,2010_2016_Archives/2011/History.pdf,reconstructed/2011/history/history/paper.md,3,needs_review
2011,2011,2011,Life Science,English,—,individual,2010_2016_Archives/2011/Life_Science.pdf,reconstructed/2011/life-science/life-science/paper.md,4,needs_review
2011,2011,2011,Mathematics,English,—,individual,2010_2016_Archives/2011/Mathematics.pdf,reconstructed/2011/mathematics/mathematics/paper.md,6,needs_review
2011,2011,2011,Physical Science,English,—,individual,2010_2016_Archives/2011/Physical_Science.pdf,reconstructed/2011/physical-science/physical-science/paper.md,5,needs_review
2012,2012,2012,Bengali,Bengali,—,individual,2010_2016_Archives/2012/Bengali.pdf,reconstructed/2012/bengali/bengali/paper.md,6,needs_review
2012,2012,2012,English,English,—,individual,2010_2016_Archives/2012/English.pdf,reconstructed/2012/english/english/paper.md,8,needs_review
2012,2012,2012,Geography,English,—,individual,2010_2016_Archives/2012/Geography.pdf,reconstructed/2012/geography/geography/paper.md,4,needs_review
2012,2012,2012,History,English,—,individual,2010_2016_Archives/2012/History.pdf,reconstructed/2012/history/history/paper.md,4,needs_review
2012,2012,2012,Life Science,English,—,individual,2010_2016_Archives/2012/Life_Science.pdf,reconstructed/2012/life-science/life-science/paper.md,5,needs_review
2012,2012,2012,Mathematics,English,—,individual,2010_2016_Archives/2012/Mathematics.pdf,reconstructed/2012/mathematics/mathematics/paper.md,6,needs_review
2012,2012,2012,Physical Science,English,—,individual,2010_2016_Archives/2012/Physical_Science.pdf,reconstructed/2012/physical-science/physical-science/paper.md,5,needs_review
2013,2013,2013,Bengali,Bengali,—,individual,2010_2016_Archives/2013/Bengali.pdf,reconstructed/2013/bengali/bengali/paper.md,6,needs_review
2013,2013,2013,English,English,—,individual,2010_2016_Archives/2013/English.pdf,reconstructed/2013/english/english/paper.md,6,needs_review
2013,2013,2013,Geography,English,—,individual,2010_2016_Archives/2013/Geography.pdf,reconstructed/2013/geography/geography/paper.md,3,needs_review
